,专辑,发行公司,发行时间,子分类,总分类,歌手,歌曲,歌词文件下载链接,歌词链接,页数
1,《Utada Hikaru SINGLE COLLECTION VOL.2》,EMI,2010-11-24,日语,语言&地域,Beautiful World,宇多田光,,http://musicdata.baidu.com/data2/lrc/9095321/9095321.lrc,1
1,《コクリコ坂から歌集》,EMI,2011-07-06,日语,语言&地域,さよならの夏 ～コクリコ坂から～,手嶌葵,,http://musicdata.baidu.com/data2/lrc/aa8d3c7077e154e24b011251516628be/262355792/262355792.lrc,1
1,《僕が死のうと思ったのは》,SMAR,2013-08-28,日语,语言&地域,僕が死のうと思ったのは,中岛美嘉,,http://musicdata.baidu.com/data2/lrc/86785004/86785004.lrc,1
1,《Heart Station》,EMI,2008-03-19,日语,语言&地域,Flavor Of Life,宇多田光,,http://musicdata.baidu.com/data2/lrc/246650752/246650752.lrc,1
1,《Utada Hikaru SINGLE COLLECTION VOL.2》,EMI,2010-11-24,日语,语言&地域,Stay Gold,宇多田光,,http://musicdata.baidu.com/data2/lrc/12482770/12482770.lrc,1
1,《Violet Cry》,SONY MUSIC,2016-12-14,日语,语言&地域,極楽浄土,GARNiDELiA (ガルニデリア),,http://musicdata.baidu.com/data2/lrc/522739204/cffcaf9234e25f22a40786f65c8e4cf0/522739204.lrc,1
1,《恋するフォーチュンクッキー》,King Records,2013-08-21,日语,语言&地域,恋するフォーチュンクッキー,AKB48,,http://musicdata.baidu.com/data2/lrc/240802096/240802096.lrc,1
1,《Always》,SONY MUSIC,2010-01-20,日语,语言&地域,Always,中岛美嘉,,http://musicdata.baidu.com/data2/lrc/20656757/20656757.lrc,1
1,《狂想的旅程》,SONY MUSIC,2007-10-24,日语,语言&地域,握你的手,韩雪,,http://musicdata.baidu.com/data2/lrc/240465360/240465360.lrc,1
1,日本流行,SONY MUSIC,2007-10-24,日语,语言&地域,Sister's Noise,fripSide,,http://musicdata.baidu.com/data2/lrc/246650600/246650600.lrc,1
1,《HeartY》,SONY MUSIC,2008-04-16,日语,语言&地域,366日,HY,,http://musicdata.baidu.com/data2/lrc/240702701/240702701.lrc,1
1,《Love Collection ~Mint~》,SONY MUSIC,2013-09-04,日语,语言&地域,Believe,西野加奈,,http://musicdata.baidu.com/data2/lrc/106237751/106237751.lrc,1
1,《westview》,SONY MUSIC,2011-02-02,日语,语言&地域,Sunshine,Monkey Majik,,http://musicdata.baidu.com/data2/lrc/241211820/241211820.lrc,1
1,《Best》,SONY MUSIC,2005-12-07,日语,语言&地域,爱してる,中岛美嘉,,http://musicdata.baidu.com/data2/lrc/240806838/240806838.lrc,1
1,《アキラブ》,SONY MUSIC,2010-10-13,日语,语言&地域,アキラブ,Juliet,,http://musicdata.baidu.com/data2/lrc/65096667/65096667.lrc,1
1,《JAPONESQUE》,艾回,2012-02-02,日语,语言&地域,Love Me Back,幸田来未,,http://musicdata.baidu.com/data2/lrc/14885267/14885267.lrc,1
1,《KOJI TAMAKI ’07 LIVE ☆惑星☆》,SONY MUSIC,2008-03-26,日语,语言&地域,元気な町,玉置浩二,,http://musicdata.baidu.com/data2/lrc/add1f67fb8ada3e43c14da6bb86a4305/542045847/542045847.lrc,1
1,《Streets I Have Walked》,SONY MUSIC,2014-02-03,日语,语言&地域,Sakura,Harry Belafonte,,http://musicdata.baidu.com/data2/lrc/add1f67fb8ada3e43c14da6bb86a4305/542045847/542045847.lrc,1
1,《JAZZで聴く・・・白い恋人達桑田佳祐 作品集》,ビクターエンタテインメント,2001-12-19,日语,语言&地域,白い恋人達,桑田佳祐,,http://musicdata.baidu.com/data2/lrc/84183006/84183006.lrc,1
1,《LIVE!!「今日というこの日を生きていこう」》,SONY MUSIC,2005-07-27,日语,语言&地域, 太陽さん,玉置浩二,,http://musicdata.baidu.com/data2/lrc/84183006/84183006.lrc,1
2,《愛し君へ》,Nayutawave Records,2013-08-21,日语,语言&地域,愛し君へ,GReeeeN,,http://musicdata.baidu.com/data2/lrc/240883952/240883952.lrc,2
2,《Extra terrestrial Biological Entities》,Sony Music,2012-09-19,日语,语言&地域,Departures ～あなたにおくるアイの歌～,egoist,,http://musicdata.baidu.com/data2/lrc/241609566/241609566.lrc,2
2,《加藤ミリヤM-MIX～MASTERMIX VOL.1～》,未知,2015-07-29,日语,语言&地域,LOVERS partII feat.若旦那(M-MIX),加藤ミリヤ,,http://musicdata.baidu.com/data2/lrc/241609566/241609566.lrc,2
2,《1%》,King Records,2013-06-12,日语,语言&地域,1%,板野友美,,http://musicdata.baidu.com/data2/lrc/240888107/240888107.lrc,2
2,《JPN》,Tokuma Japan Communications,2011-11-30,日语,语言&地域,スパイス,Perfume,,http://musicdata.baidu.com/data2/lrc/65087651/65087651.lrc,2
2,《Exile Ballad Best》,艾回,2008-12-03,日语,语言&地域,Last Christmas,Exile,,http://musicdata.baidu.com/data2/lrc/13843018/13843018.lrc,2
2,《Wildflower & Cover Songs;Complete Best 'TRACK 3'》,艾回,2010-09-01,日语,语言&地域,タマシイレボリューション,superfly,,http://musicdata.baidu.com/data2/lrc/118208139/118208139.lrc,2
2,《Love The World》,Tokuma Japan Communications,2008-07-09,日语,语言&地域,love the world,Perfume,,http://musicdata.baidu.com/data2/lrc/979404/979404.lrc,2
2,《Extra terrestrial Biological Entities》,Sony Music,2012-09-19,日语,语言&地域,Planetes,egoist,,http://musicdata.baidu.com/data2/lrc/241609573/241609573.lrc,2
2,《それぞれの椅子 (TYPE-A)》,SONY MUSIC,2016-05-25,日语,语言&地域,命は美しい,乃木坂46,,http://musicdata.baidu.com/data2/lrc/241609573/241609573.lrc,2
2,《拳击少女》,维音唱片,2016-03-21,日语,语言&地域,光れ,荒浪和沙,,http://musicdata.baidu.com/data2/lrc/fa5864f54592e54a97dc6b034ce85bed/264368412/264368412.lrc,2
2,《それぞれの椅子 (TYPE-A)》,SONY MUSIC,2016-05-25,日语,语言&地域,太陽ノック,乃木坂46,,http://musicdata.baidu.com/data2/lrc/fa5864f54592e54a97dc6b034ce85bed/264368412/264368412.lrc,2
2,《1995 ORICON Top 100 Single》,SONY MUSIC,2016-05-25,日语,语言&地域,TOMORROW,冈本真夜,,http://musicdata.baidu.com/data2/lrc/65826519/65826519.lrc,2
2,《Don' t Wanna Lie》,Being,2011-06-01,日语,语言&地域,Don' t Wanna Lie,B' z,,http://musicdata.baidu.com/data2/lrc/106242409/106242409.lrc,2
2,《それぞれの椅子 (TYPE-A)》,SONY MUSIC,2016-05-25,日语,语言&地域,今、話したい誰かがいる,乃木坂46,,http://musicdata.baidu.com/data2/lrc/132b1fb7174c1fba6fe8efe1ce927e6c/271927652/271927652.lrc,2
2,《Best of Hilcrhyme~BEST RAP~》,ユニバーサルＪ,2012-04-25,日语,语言&地域,春夏秋冬,Hilcrhyme,,http://musicdata.baidu.com/data2/lrc/246647981/246647981.lrc,2
2,《それぞれの椅子 (TYPE-A)》,SONY MUSIC,2016-05-25,日语,语言&地域,きっかけ,乃木坂46,,http://musicdata.baidu.com/data2/lrc/246647981/246647981.lrc,2
2,《それぞれの椅子 (TYPE-A)》,SONY MUSIC,2016-05-25,日语,语言&地域,欲望のリインカーネーション,乃木坂46,,http://musicdata.baidu.com/data2/lrc/246647981/246647981.lrc,2
2,《EXILE BEST HITS -LOVE SIDE / SOUL SIDE-》,SONY MUSIC,2012-12-05,日语,语言&地域,I Wish For You,EXILE,,http://musicdata.baidu.com/data2/lrc/246650778/246650778.lrc,2
2,《Can T Buy My Love》,SONY MUSIC,2007-04-04,日语,语言&地域,Happy Birthday To You You,Yui,,http://musicdata.baidu.com/data2/lrc/1239693/1239693.lrc,2
3,《スターラブレイション》,SONY MUSIC,2013-05-15,日语,语言&地域,スターラブレイション,ケラケラ,,http://musicdata.baidu.com/data2/lrc/246650617/246650617.lrc,3
3,《それぞれの椅子 (TYPE-A)》,SONY MUSIC,2016-05-25,日语,语言&地域,羽根の記憶,乃木坂46,,http://musicdata.baidu.com/data2/lrc/246650617/246650617.lrc,3
3,《それぞれの椅子 (TYPE-A)》,SONY MUSIC,2016-05-25,日语,语言&地域,悲しみの忘れ方,乃木坂46,,http://musicdata.baidu.com/data2/lrc/246650617/246650617.lrc,3
3,《Exile Catchy Best》,艾回,2008-03-26,日语,语言&地域,Choo Choo Train,Exile,,http://musicdata.baidu.com/data2/lrc/1354985/1354985.lrc,3
3,《それぞれの椅子 (TYPE-A)》,SONY MUSIC,2016-05-25,日语,语言&地域,空気感,乃木坂46,,http://musicdata.baidu.com/data2/lrc/1354985/1354985.lrc,3
3,《Extra terrestrial Biological Entities》,Sony Music,2012-09-19,日语,语言&地域,Extra terrestrial Biological Entities,EGOIST,,http://musicdata.baidu.com/data2/lrc/246650920/246650920.lrc,3
3,《それぞれの椅子 (TYPE-A)》,SONY MUSIC,2016-05-25,日语,语言&地域,隙間,乃木坂46,,http://musicdata.baidu.com/data2/lrc/246650920/246650920.lrc,3
3,《それぞれの椅子 (TYPE-A)》,SONY MUSIC,2016-05-25,日语,语言&地域,光合成希望,乃木坂46,,http://musicdata.baidu.com/data2/lrc/246650920/246650920.lrc,3
3,《それぞれの椅子 (TYPE-A)》,SONY MUSIC,2016-05-25,日语,语言&地域,ハルジオンが咲く頃,乃木坂46,,http://musicdata.baidu.com/data2/lrc/246650920/246650920.lrc,3
3,《それぞれの椅子 (TYPE-A)》,SONY MUSIC,2016-05-25,日语,语言&地域,太陽に口説かれて,乃木坂46,,http://musicdata.baidu.com/data2/lrc/246650920/246650920.lrc,3
3,《Extra terrestrial Biological Entities》,Sony Music,2012-09-19,日语,语言&地域,Lovely Icecream Princess Sweetie,EGOIST,,http://musicdata.baidu.com/data2/lrc/65466705/65466705.lrc,3
3,《それぞれの椅子 (TYPE-A)》,SONY MUSIC,2016-05-25,日语,语言&地域,あらかじめ語られるロマンス,乃木坂46,,http://musicdata.baidu.com/data2/lrc/65466705/65466705.lrc,3
3,《それぞれの椅子 (TYPE-A)》,SONY MUSIC,2016-05-25,日语,语言&地域,急斜面,乃木坂46,,http://musicdata.baidu.com/data2/lrc/65466705/65466705.lrc,3
3,《Rainbow》,SONY MUSIC,2016-04-27,日语,语言&地域,Rainbow,Leola,,http://musicdata.baidu.com/data2/lrc/65466705/65466705.lrc,3
